x y
399.13825400994006 507.09898828119054
518.9607408061593 1289.9619865238521
494.7145412995102 1297.2451519266851
511.3060392249518 1312.763745943087
1007.5996017417791 895.5395755600867
1097.8003955740614 1202.8356619401086
1093.4963003726373 1208.2113551736657
1390.951824431637 818.4005476001155
387.6598659857407 501.0134702201095
1113.8339787460657 1190.1419329008238
1007.3993355110935 904.4408092781601
1393.7920105370913 806.1545897122564
1405.9644230039073 781.9913197015986
397.01182236775816 498.8350937733532
198.93939967591615 990.5955652278886
201.0402781191466 1011.0864960561894
497.8054240564927 1299.297296656509
1397.7886478570802 808.8205131868752
196.41372979882783 1015.0140782035284
195.06269032031724 988.099359063878
1094.696004664975 1218.416999094509
1106.111994800893 1195.8260350002479
396.54761020679376 506.84330781733
986.7346841686247 900.6213907022435
1100.507757640012 1195.9038067754766
1397.9715160264689 807.0571644843399
394.4594760514497 493.45968597852016
393.28622859257683 503.92154160805734
410.0242906871497 505.1080765959057
207.91567483400652 993.1994917682923
991.2781015949635 914.7606640725152
989.9890857039417 896.1059869566329
404.5308261064569 481.76056010571114
992.707979040966 900.2884038200488
993.2199649936105 897.3986795192438
1099.8902035747637 1195.644184298182
989.7172180844487 915.7227214021917
198.6615072446267 988.3485535096776
1413.871583035423 790.5122273473061
485.02436182384065 1300.7669544162936
1404.9848430629984 810.776670394648
505.27291358521376 1289.7950438839075
195.90763969504397 995.8285362927907
1402.0350233578251 809.3501887203516
487.91510812838715 1290.5570519521693
1095.7472858777483 1217.6358171422587
1093.0939572991197 1202.090092959423
481.8192974740045 1312.1455819259322
383.38186717032534 487.6316562681291
503.78260332005567 1306.976165993362
1398.7601404817635 808.6103731802239
993.3544753299443 885.0227446644814
1088.7074554429819 1208.3451224981357
211.56529732785464 1000.8712546811581
186.8482367948947 995.9824235169664
999.6431311565005 903.2042352243932
392.4511628296962 505.8128312160006
192.08460245490508 996.1120080563567
496.6513147910113 1296.6564958902936
1395.140232568837 807.1676758098574
